connector,conectorChannel,stripNb,axis,pitch(mm),interpitch(mm),neighbours(:separated)
0,0,0,x,2,0,1
0,1,1,x,2,0,0:2
0,2,2,x,2,0,1:3
0,3,3,x,2,0,2:4
0,4,4,x,2,0,3:5
0,5,5,x,2,0,4:6
0,6,6,x,2,0,5:7
0,7,7,x,2,0,6:8
0,8,8,x,2,0,7:9
0,9,9,x,2,0,8:10
0,10,10,x,2,0,9:11
0,11,11,x,2,0,10:12
0,12,12,x,2,0,11:13
0,13,13,x,2,0,12:14
0,14,14,x,2,0,13:15
0,15,15,x,2,0,14:16
0,16,16,x,2,0,15:17
0,17,17,x,2,0,16:18
0,18,18,x,2,0,17:19
0,19,19,x,2,0,18:20
0,20,20,x,2,0,19:21
0,21,21,x,2,0,20:22
0,22,22,x,2,0,21:23
0,23,23,x,2,0,22:24
0,24,24,x,2,0,23:25
0,25,25,x,2,0,24:26
0,26,26,x,2,0,25:27
0,27,27,x,2,0,26:28
0,28,28,x,2,0,27:29
0,29,29,x,2,0,28:30
0,30,30,x,2,0,29:31
0,31,31,x,2,0,30
0,32,0,y,2,0,33
0,33,1,y,2,0,32:34
0,34,2,y,2,0,33:35
0,35,3,y,2,0,34:36
0,36,4,y,2,0,35:37
0,37,5,y,2,0,36:38
0,38,6,y,2,0,37:39
0,39,7,y,2,0,38:40
0,40,8,y,2,0,39:41
0,41,9,y,2,0,40:42
0,42,10,y,2,0,41:43
0,43,11,y,2,0,42:44
0,44,12,y,2,0,43:45
0,45,13,y,2,0,44:46
0,46,14,y,2,0,45:47
0,47,15,y,2,0,46:48
0,48,16,y,2,0,47:49
0,49,17,y,2,0,48:50
0,50,18,y,2,0,49:51
0,51,19,y,2,0,50:52
0,52,20,y,2,0,51:53
0,53,21,y,2,0,52:54
0,54,22,y,2,0,53:55
0,55,23,y,2,0,54:56
0,56,24,y,2,0,55:57
0,57,25,y,2,0,56:58
0,58,26,y,2,0,57:59
0,59,27,y,2,0,58:60
0,60,28,y,2,0,59:61
0,61,29,y,2,0,60:62
0,62,30,y,2,0,61:63
0,63,31,y,2,0,62
1,0,32,y,1,0,1
1,1,33,y,1,0,0:2
1,2,34,y,1,0,1:3
1,3,35,y,1,0,2:4
1,4,36,y,1,0,3:5
1,5,37,y,1,0,4:6
1,6,38,y,1,0,5:7
1,7,39,y,1,0,6:8
1,8,40,y,1,0,7:9
1,9,41,y,1,0,8:10
1,10,42,y,1,0,9:11
1,11,43,y,1,0,10:12
1,12,44,y,1,0,11:13
1,13,45,y,1,0,12:14
1,14,46,y,1,0,13:15
1,15,47,y,1,0,14:16
1,16,48,y,1,0,15:17
1,17,49,y,1,0,16:18
1,18,50,y,1,0,17:19
1,19,51,y,1,0,18:20
1,20,52,y,1,0,19:21
1,21,53,y,1,0,20:22
1,22,54,y,1,0,21:23
1,23,55,y,1,0,22:24
1,24,56,y,1,0,23:25
1,25,57,y,1,0,24:26
1,26,58,y,1,0,25:27
1,27,59,y,1,0,26:28
1,28,60,y,1,0,27:29
1,29,61,y,1,0,28:30
1,30,62,y,1,0,29:31
1,31,63,y,1,0,30
1,32,63,x,1,0,33
1,33,62,x,1,0,32:34
1,34,61,x,1,0,33:35
1,35,60,x,1,0,34:36
1,36,59,x,1,0,35:37
1,37,58,x,1,0,36:38
1,38,57,x,1,0,37:39
1,39,56,x,1,0,38:40
1,40,55,x,1,0,39:41
1,41,54,x,1,0,40:42
1,42,53,x,1,0,41:43
1,43,52,x,1,0,42:44
1,44,51,x,1,0,43:45
1,45,50,x,1,0,44:46
1,46,49,x,1,0,45:47
1,47,48,x,1,0,46:48
1,48,47,x,1,0,47:49
1,49,46,x,1,0,48:50
1,50,45,x,1,0,49:51
1,51,44,x,1,0,50:52
1,52,43,x,1,0,51:53
1,53,42,x,1,0,52:54
1,54,41,x,1,0,53:55
1,55,40,x,1,0,54:56
1,56,39,x,1,0,55:57
1,57,38,x,1,0,56:58
1,58,37,x,1,0,57:59
1,59,36,x,1,0,58:60
1,60,35,x,1,0,59:61
1,61,34,x,1,0,60:62
1,62,33,x,1,0,61:63
1,63,32,x,1,0,62
